"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"TimeBin";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"109";11555;"L_7m_ROI";1;0,000553956285140482;-6,13537;-63,4428;36,0996;"L";"First";1,00829524280358;0,0106762376943186;1;2542,88452084108;26
"110";11556;"L_7m_ROI";1;0,00056628050948799;-6,03071;-62,3628;37,183;"L";"First";1,00828212840647;0,0010638885936155;1;2568,70957909117;25
"111";11567;"L_7m_ROI";1;0,00057780694017981;-6,57527;-66,2535;31,6044;"L";"First";1,00826464636846;-0,0227999071682345;0;2372,55340184264;2
"112";11568;"L_7m_ROI";1;0,000590219018549405;-6,38029;-65,2971;32,7363;"L";"First";1,00825071918664;-0,0278391250849056;0;2286,59310269388;60
"113";11569;"L_7m_ROI";1;0,000601803218417813;-6,21245;-64,3038;33,8595;"L";"First";1,00823578734944;-0,0353852284441778;0;2288,35536900613;61
"114";11570;"L_7m_ROI";1;0,00061343627606278;-6,07266;-63,275;34,9717;"L";"First";1,0082279770975;-0,00363062608819964;0;2471,16362631467;5
"115";11571;"L_7m_ROI";1;0,000624987006652732;-5,96097;-62,2128;36,0705;"L";"First";1,00821469885558;-0,00687426943779752;0;2488,01029707309;9
"116";11582;"L_7m_ROI";1;0,000636548238632498;-6,32533;-65,0452;31,5864;"L";"First";1,00821353047807;-0,0274275294713494;0;2352,41976960955;4
"117";11583;"L_7m_ROI";1;0,000648179432973741;-6,15066;-64,0767;32,7218;"L";"First";1,00819438478461;-0,0464446840662752;0;2318,67232623857;2670
"118";11584;"L_7m_ROI";1;0,00066017121952357;-6,00408;-63,0711;33,8474;"L";"First";1,00818755080704;-0,0324417728527292;0;2294,32744231937;26
"119";11596;"L_7m_ROI";1;0,000671991410177539;-6,08175;-63,8081;31,5912;"L";"First";1,00817405795843;-0,041427120925854;0;2372,86886173596;105
"120";11597;"L_7m_ROI";1;0,000683793906136412;-5,92847;-62,8281;32,729;"L";"First";1,00815266741155;-0,0373313800501981;0;2297,80837105329;334
"121";11609;"L_7m_ROI";1;0,000695301229818315;-5,84498;-62,543;31,6191;"L";"First";1,00815027665579;-0,0090664871073267;0;2226,20167936461;25
"122";11610;"L_7m_ROI";2;0,00070749761438344;-5,71335;-61,5521;32,7577;"L";"First";1,00813568617053;0,0179419876508207;1;2355,03433161013;11
"123";11621;"L_7m_ROI";2;0,000718907782592353;-5,61504;-61,2512;31,6694;"L";"First";1,00812928718199;0,0243053681419119;1;2436,93075800176;45
"124";24353;"L_7m_ROI";1;0,000730401879747988;-6,96433;-67,3442;26,9791;"L";"First";1,00810946318702;-0,0182215870963319;0;2382,71924752516;93
"125";24354;"L_7m_ROI";1;0,000742419699157907;-7,00473;-67,7209;28,1439;"L";"First";1,0081009886623;-0,00884730545307283;0;2446,4861626842;5
"126";24367;"L_7m_ROI";1;0,000754104154961326;-6,58713;-65,6737;25,869;"L";"First";1,0080952561214;-0,00711532072657448;0;2439,82498723414;106
"127";24368;"L_7m_ROI";1;0,000765854804835959;-6,65102;-66,1198;26,9939;"L";"First";1,00808689483536;-0,0203623465909115;0;2406,75345267316;365
"128";24369;"L_7m_ROI";1;0,000777824888734826;-6,70666;-66,5172;28,1373;"L";"First";1,00807779044073;-0,017270398857254;0;2438,69064530703;29
"129";24370;"L_7m_ROI";1;0,000790040689129514;-6,75459;-66,8674;29,2957;"L";"First";1,00806901648674;-0,0121899472235913;0;2440,10790390804;3
"130";24381;"L_7m_ROI";1;0,000802185149668225;-6,25749;-64,3946;25,936;"L";"First";1,00805840280963;0,00989910892798397;1;2472,1086257164;32
"131";24382;"L_7m_ROI";1;0,000814256327430144;-6,33763;-64,8638;27,0357;"L";"First";1,0080411152396;-0,0162496095881309;0;2457,66126994866;66
"132";24383;"L_7m_ROI";1;0,000826524701078881;-6,40907;-65,2826;28,156;"L";"First";1,00802380804491;-0,0275678334293872;0;2444,1273135664;272
"133";24384;"L_7m_ROI";1;0,000838768285574793;-6,47209;-65,6526;29,2932;"L";"First";1,00801716601396;-0,0331205095671437;0;2435,75447616989;358
"134";24395;"L_7m_ROI";1;0,000851368289408001;-6,02715;-63,5772;27,1057;"L";"First";1,0080060191693;-0,00454276439533358;0;2477,99071235502;22
"135";24396;"L_7m_ROI";1;0,000864205777364191;-6,11454;-64,0179;28,2013;"L";"First";1,00799174138213;-0,0255162474465787;0;2422,14596899011;19
"136";24397;"L_7m_ROI";1;0,000876577477897444;-6,19313;-64,408;29,3156;"L";"First";1,0079860363963;-0,028737778757235;0;2453,02985226846;4
"137";24408;"L_7m_ROI";1;0,000889073316099176;-5,82517;-62,724;28,2735;"L";"First";1,00798056224603;-0,0226346265394962;0;2427,86826085888;65
"138";24409;"L_7m_ROI";1;0,000901457313893666;-5,91943;-63,1345;29,3637;"L";"First";1,0079675160298;-0,02145450391586;0;2446,96963931473;73
"139";24420;"L_7m_ROI";1;0,000913664659332152;-5,65222;-61,8335;29,4372;"L";"First";1,00794163059014;-0,00613011424137958;0;2404,9143154237;7
"140";39815;"R_7m_ROI";1;0,000925884689421716;6,53291;-60,9778;31,5418;"R";"First";1,00793653316825;0,00732486262420559;1;2483,48552462496;7
"141";39816;"R_7m_ROI";2;0,000938460135135637;6,87318;-62,2549;31,5399;"R";"First";1,00793071654276;0,0238685797057965;1;2456,86094803243;7
"142";39817;"R_7m_ROI";2;0,000950989933779329;7,22684;-63,5091;31,5653;"R";"First";1,00790863944649;0,0402847551695604;1;2454,0637437145;229
"143";39818;"R_7m_ROI";2;0,000963989574836129;7,59251;-64,7386;31,618;"R";"First";1,00790578325188;0,0247853718883225;1;2442,44460658894;37
"144";39819;"R_7m_ROI";1;0,000976750019968467;7,96823;-65,9425;31,6974;"R";"First";1,00789045370815;0,0060752644612254;1;2480,4689917721;24
"145";39820;"R_7m_ROI";1;0,000989519119210193;8,35151;-67,12;31,8018;"R";"First";1,00788522647128;-0,00524295638080621;0;2418,4140652252;1
"146";40919;"R_7m_ROI";1;0,00100238298536411;9,74551;-69,4238;49,0942;"R";"First";1,00787045040605;-0,0150620508854523;0;2347,06955203026;14
"147";40949;"R_7m_ROI";1;0,0010153470512691;9,58969;-69,5427;48,0356;"R";"First";1,00785985240302;-0,0357585017277519;0;2298,26023014161;33
"148";40978;"R_7m_ROI";1;0,00102843147135844;9,45413;-69,6376;46,9633;"R";"First";1,0078546975361;-0,0396869825012454;0;2281,15657414611;1848
"149";40979;"R_7m_ROI";1;0,00104134569309192;9,17586;-68,5388;47,8195;"R";"First";1,007843215311;-0,0421195277884868;0;2305,871242369;1952
"150";40980;"R_7m_ROI";1;0,00105446354512881;8,92678;-67,4214;48,6631;"R";"First";1,00783333636188;-0,00900861659954711;0;2310,2377443079;95
"151";41006;"R_7m_ROI";1;0,00106757709607386;9,3373;-69,708;45,8773;"R";"First";1,00781893068272;-0,0386641029199927;0;2317,01714127862;973
"152";41007;"R_7m_ROI";1;0,00108073270992811;9,05309;-68,6215;46,7476;"R";"First";1,00780810146179;-0,0448275519009672;0;2271,10791093332;3066
"153";41008;"R_7m_ROI";1;0,00109376644609324;8,79722;-67,5141;47,6052;"R";"First";1,00779718840254;-0,0243772893917294;0;2269,43948606076;332
"154";41009;"R_7m_ROI";1;0,0011070612423585;8,57278;-66,3889;48,4507;"R";"First";1,00778575107641;-0,00850320328819197;0;2347,12219848761;47
"155";41010;"R_7m_ROI";1;0,00112068926344175;8,38179;-65,2487;49,2844;"R";"First";1,00777938080683;-0,0184551345510557;0;2401,8297780252;15
"156";41033;"R_7m_ROI";1;0,00113422940271472;9,23757;-69,753;44,7778;"R";"First";1,00777452544914;-0,0363529987136999;0;2335,15757396767;26
"157";41034;"R_7m_ROI";1;0,00114783736241049;8,94777;-68,6805;45,6629;"R";"First";1,00776364584845;-0,0389573992876355;0;2331,03482607345;11
"158";41035;"R_7m_ROI";1;0,00116161298847972;8,68546;-67,5847;46,5352;"R";"First";1,00774437312247;-0,0350965148871396;0;2310,74606546512;84
"159";41036;"R_7m_ROI";1;0,00117543353141794;8,45397;-66,4686;47,3952;"R";"First";1,00772931792661;-0,0229292368598408;0;2329,20469950619;893
"160";41037;"R_7m_ROI";1;0,00118936625579044;8,25554;-65,3354;48,2432;"R";"First";1,00772393548165;-0,0201638730878478;0;2376,93659456591;14
"161";41038;"R_7m_ROI";1;0,00120319982376383;8,09144;-64,1882;49,0793;"R";"First";1,00771363477246;-0,0205397260506641;0;2440,00075986277;15
"162";41039;"R_7m_ROI";1;0,00121714651538995;7,96203;-63,0301;49,9029;"R";"First";1,00770376965897;-0,00682029407213418;0;2444,41256424383;5
