"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary";"Strength";"Betweenness"
"68";19159;"L_10pp_ROI";1;0,000127141639250344;-16,3757;53,9175;-17,9736;"L";1,02237412600487;0,0020012455423014;1;1586,45960262147;22
"69";19182;"L_10pp_ROI";3;0,000141586199386589;-16,3894;60,5645;-10,5919;"L";1,02234584717516;-0,00752914569237052;0;1701,18306391327;3470
"70";19183;"L_10pp_ROI";3;0,000156184306057049;-16,2333;59,6334;-11,8159;"L";1,02228668352359;-0,00713586312871889;0;1657,6938028482;1144
"71";19184;"L_10pp_ROI";2;0,000170674799748986;-16,0882;58,6446;-12,9986;"L";1,0222091981798;-0,010701367820702;0;1696,79188850038;532
"72";19187;"L_10pp_ROI";2;0,00018518941705179;-15,7206;55,3438;-16,2828;"L";1,02219825782683;-0,0235702015278381;0;1653,34432925411;72
"73";19188;"L_10pp_ROI";2;0,00019990755523973;-15,6203;54,1361;-17,2848;"L";1,02215428253152;-0,0080786681098035;0;1663,87138515556;58
"74";19217;"L_10pp_ROI";2;0,000214784417898583;-14,8129;53,0725;-17,5344;"L";1,02212526837187;-0,00970050996301529;0;1731,34322809657;278
"75";25138;"L_10pp_ROI";3;0,000229707143738682;-21,5205;64,9696;-6,19329;"L";1,02208864016088;-0,00625352684203895;0;1653,14314023707;810
"76";25139;"L_10pp_ROI";1;0,000244842026986833;-20,5043;64,5609;-6,60035;"L";1,02201803232831;-0,00588346838151837;0;1683,71254092021;215
"77";25140;"L_10pp_ROI";1;0,000260136568373286;-19,5125;64,0835;-6,98633;"L";1,02200136231815;-0,00151659576883339;0;1667,28587488662;120
"78";25141;"L_10pp_ROI";1;0,000275569529279444;-18,5504;63,538;-7,35214;"L";1,02193165040477;-0,000397843131070222;0;1688,53547034286;65
"79";25142;"L_10pp_ROI";1;0,000290985178821096;-17,6224;62,9258;-7,69874;"L";1,02187766141133;0,00574936314375855;1;1633,04399604884;77
"80";25143;"L_10pp_ROI";1;0,000306323598081972;-16,7328;62,2485;-8,02717;"L";1,02185439797096;0,00475349809336894;1;1618,46556498356;53
"81";25144;"L_10pp_ROI";1;0,000321698375103617;-15,885;61,508;-8,33834;"L";1,02181932561555;0,0222431498327527;1;1668,39500111635;88
"82";25189;"L_10pp_ROI";2;0,000337020143445162;-20,6883;65,1402;-5,24077;"L";1,02178584290889;-0,0174531256234342;0;1563,76132460913;301
"83";25190;"L_10pp_ROI";1;0,000352530779793837;-19,7001;64,7059;-5,6329;"L";1,02176743530547;-0,010712862282126;0;1622,02073045181;66
"84";25191;"L_10pp_ROI";1;0,000368176129670958;-18,7393;64,2035;-6,00441;"L";1,02169113432012;-0,00111069147058916;0;1515,02679855075;81
"85";25192;"L_10pp_ROI";1;0,000384579378326451;-17,8107;63,634;-6,35642;"L";1,02166428926609;0,00400103298470985;1;1618,53885498092;106
"86";25193;"L_10pp_ROI";1;0,000400858236713806;-16,9187;62,9988;-6,69014;"L";1,02162226927194;-0,00108538381920493;0;1422,22078219275;120
"87";25194;"L_10pp_ROI";2;0,000417158419586269;-16,0671;62,3;-7,00674;"L";1,02158906447274;-0,0157921474259152;0;1474,11209636996;181
"88";25240;"L_10pp_ROI";1;0,000433516942090118;-19,8939;65,2646;-4,24539;"L";1,02158001154297;-0,00483091486780309;0;1577,51543450491;14
"89";25241;"L_10pp_ROI";1;0,00044998710674562;-18,9353;64,8056;-4,62275;"L";1,02154306008461;-0,00987979756507343;0;1586,16942827005;30
"90";25242;"L_10pp_ROI";1;0,000466626680508145;-18,0068;64,2791;-4,98028;"L";1,02152041523341;-0,00143961697686904;0;1535,15193029456;15
"91";25243;"L_10pp_ROI";1;0,00048321600521854;-17,1129;63,6865;-5,3193;"L";1,02150288911182;0,00181358432677285;1;1607,42318167642;38
"92";25244;"L_10pp_ROI";2;0,000499998201377611;-16,2578;63,0296;-5,64121;"L";1,02144414180757;-0,0108478226013574;0;1509,3464571194;1226
"93";25290;"L_10pp_ROI";1;0,00051763394246929;-19,1374;65,3431;-3,20922;"L";1,02144299470999;0,000752238460530307;1;1662,90340609927;12
"94";25291;"L_10pp_ROI";3;0,000534445178974638;-18,2096;64,86;-3,57235;"L";1,02138328259013;-0,00743281141099327;0;1671,10352274306;135
"95";25292;"L_10pp_ROI";1;0,000551360309721894;-17,3144;64,3103;-3,91672;"L";1,02132600954264;0,00678930441395154;1;1693,40247929802;198
"96";25293;"L_10pp_ROI";2;0,000568372754513283;-16,4563;63,6954;-4,2439;"L";1,0212666121228;-0,0133457216733087;0;1626,47672114636;194
"97";25340;"L_10pp_ROI";1;0,000585328240106954;-17,5223;64,8689;-2,4846;"L";1,0212465406196;0,00057244732703518;1;1682,32989985653;412
"98";25341;"L_10pp_ROI";3;0,000602476048888321;-16,6614;64,2964;-2,81702;"L";1,02123144378999;0,000505967418404213;1;1659,50779820872;97
"99";25342;"L_10pp_ROI";3;0,000620217365441999;-15,8395;63,6601;-3,13383;"L";1,02117720607135;-0,000719649599429349;0;1689,96057599758;309
"100";25388;"L_10pp_ROI";1;0,000637682277749047;-16,0461;64,2366;-1,68485;"L";1,021140582995;0,0203016926882441;1;1820,84837297717;406
"101";25389;"L_10pp_ROI";1;0,000655286644370912;-15,261;63,5794;-1,99304;"L";1,02106189960174;0,0230294644904612;1;1783,03833398436;59
"102";47807;"R_10pp_ROI";1;0,000673005040056527;19,8091;63,3259;-8,09337;"R";1,0210452441361;0,0343673059807746;1;1647,02769672068;199
"103";47808;"R_10pp_ROI";1;0,000691479938250586;18,8037;62,7059;-8,46407;"R";1,02099471748606;0,0236121635944612;1;1740,74950786658;255
"104";47809;"R_10pp_ROI";1;0,00070993175236045;17,8326;62,0163;-8,81474;"R";1,02098494297633;0,0325828919521719;1;1639,16434815343;52
"105";47810;"R_10pp_ROI";1;0,000728811421236283;16,8998;61,2586;-9,14623;"R";1,02093291391002;0,0150503098886822;1;1657,84310789027;48
"106";47811;"R_10pp_ROI";1;0,000747519250424889;16,0084;60,4348;-9,45922;"R";1,02090736479043;0,00577766164859348;1;1654,29224535862;597
"107";48673;"R_10pp_ROI";2;0,000766059001155112;23,1514;60,7326;-13,6037;"R";1,02086506968526;-0,00604525324281194;0;1609,84981436924;4204
"108";48674;"R_10pp_ROI";2;0,000785666858326837;23,0033;59,8092;-14,6407;"R";1,02081457146159;-0,0107711430068553;0;1579,95830716901;1115
"109";48707;"R_10pp_ROI";2;0,000804541494435566;22,3293;61,9182;-11,8099;"R";1,02075093611915;-0,00649479503458674;0;1726,19801367302;1790
"110";48708;"R_10pp_ROI";2;0,000823375695360441;22,1756;61,0649;-12,9347;"R";1,02073752959635;-0,00584333060163471;0;1690,36996965081;4587
"111";48709;"R_10pp_ROI";2;0,000842269426473006;22,0253;60,1567;-14,0116;"R";1,02068765718668;-0,0112249518445244;0;1681,3238231011;2032
"112";48710;"R_10pp_ROI";2;0,000861583221908684;21,878;59,195;-15,0403;"R";1,0206582919888;-0,0116781398265158;0;1613,6810404827;4213
"113";48711;"R_10pp_ROI";2;0,000881377717566433;21,7331;58,1812;-16,0206;"R";1,02064655413858;-0,0173413049567465;0;1670,78162623495;301
"114";48712;"R_10pp_ROI";2;0,000900976132935473;21,5902;57,1169;-16,9528;"R";1,02059868242571;-0,00498827773952608;0;1587,13091311152;132
"115";48740;"R_10pp_ROI";1;0,000921432170734316;21,5562;62,9662;-9,8398;"R";1,02056937417321;0,0111578662680044;1;1776,81857800185;1107
"116";48741;"R_10pp_ROI";1;0,000942949568834229;21,3906;62,1855;-11,0494;"R";1,02051072124011;0,0104978632563447;1;1719,43188782683;263
"117";48742;"R_10pp_ROI";1;0,000963019062344762;21,2306;61,348;-12,2131;"R";1,02046305236431;0,0248401682672196;1;1593,76716262123;358
"118";48743;"R_10pp_ROI";1;0,000983332519228546;21,076;60,4551;-13,3297;"R";1,02043682933216;0,0064903911515592;1;1577,77380883311;629
"119";48744;"R_10pp_ROI";2;0,0010037867023557;20,9264;59,508;-14,3986;"R";1,02040842048251;-0,00482508676314382;0;1573,32273791832;622
"120";48745;"R_10pp_ROI";2;0,00102598273185011;20,7814;58,508;-15,4193;"R";1,02033449745389;-0,0184456143945693;0;1378,62900369004;168
"121";48746;"R_10pp_ROI";2;0,00104738994664431;20,6404;57,4565;-16,3916;"R";1,02032281320237;-0,0101464162184807;0;1519,95677847413;681
"122";48747;"R_10pp_ROI";2;0,00107009121410048;20,5029;56,3548;-17,3158;"R";1,02030766122277;-0,00705223093378595;0;1468,62186517293;109
"123";48748;"R_10pp_ROI";2;0,00109252125054409;20,3683;55,2042;-18,1924;"R";1,02029198560322;-0,0057085518903848;0;1438,92480165201;117
"124";48749;"R_10pp_ROI";2;0,00111432489499046;20,2359;54,006;-19,0223;"R";1,02027382004763;-0,0115249400772727;0;1428,25178681412;663
"125";48750;"R_10pp_ROI";2;0,00113632849224253;20,1054;52,7611;-19,8065;"R";1,02022442395485;-0,00489704731009692;0;1448,94785551464;736
"126";48773;"R_10pp_ROI";1;0,00115940507528296;20,6628;63,1693;-8,99109;"R";1,02021424011335;0,0197570811634859;1;1509,63738731612;62
"127";48774;"R_10pp_ROI";1;0,00118237940065183;20,4881;62,4049;-10,2374;"R";1,02013193031807;0,0215484445397974;1;1597,09720528362;218
"128";48775;"R_10pp_ROI";1;0,00120619151282733;20,3206;61,5834;-11,439;"R";1,02012248280152;0,0328213787372345;1;1478,50251582985;423
"129";48776;"R_10pp_ROI";1;0,00122980947588189;20,16;60,7058;-12,5948;"R";1,02009273480131;0,0213338312431716;1;1658,69227992147;237
"130";48777;"R_10pp_ROI";1;0,0012533851798587;20,0061;59,7734;-13,7036;"R";1,02006319036624;0,0127141462361444;1;1476,19063245764;285
"131";48778;"R_10pp_ROI";1;0,00127782307147415;19,8587;58,7874;-14,7647;"R";1,02002668262166;-0,0071217294524596;0;1519,68085655473;16
