"";"Vertex";"Label";"Membership";"Modularity";"x";"y";"z";"Hemisphere";"EigenVal";"FiedlerVec";"FiedlerBinary"
"169";22301;"L_V1_ROI";1;0,00028861294407563;-17,3911;-97,9233;-6,55885;"L";1,00405629036651;0,009451549176428;1
"170";22302;"L_V1_ROI";1;0,000293119926888366;-16,5746;-97,9225;-5,35838;"L";1,00405304215021;0,0117546078722255;1
"171";22303;"L_V1_ROI";1;0,000297718976604377;-15,7963;-97,8576;-4,10832;"L";1,00404937188309;0,0110117676228042;1
"172";22304;"L_V1_ROI";1;0,000302228076875613;-15,0559;-97,7303;-2,81192;"L";1,00404808264921;0,0103344512839697;1
"173";22305;"L_V1_ROI";1;0,000306751746120992;-14,3538;-97,543;-1,47263;"L";1,00404023591838;0,0106055887418624;1
"174";22332;"L_V1_ROI";1;0,000311270057373539;-20,8595;-96,5621;-11,5254;"L";1,00403816020393;0,00145109023192844;1
"175";22333;"L_V1_ROI";2;0,000315790755597513;-19,8817;-96,8524;-10,5713;"L";1,0040348613076;-0,00488924507928869;0
"176";22334;"L_V1_ROI";2;0,000320327994828722;-18,9455;-97,0746;-9,55831;"L";1,00403253523714;-0,00100510881026071;0
"177";22335;"L_V1_ROI";1;0,000324912250184253;-18,0512;-97,23;-8,48784;"L";1,00403117782238;0,00467700457572044;1
"178";22336;"L_V1_ROI";1;0,000329696347667341;-17,1983;-97,3195;-7,362;"L";1,00402818674139;0,00346170922153878;1
"179";22337;"L_V1_ROI";1;0,000334423913595057;-16,3859;-97,3444;-6,18324;"L";1,00402588690413;0,0117551773698542;1
"180";22338;"L_V1_ROI";1;0,000339182358173203;-15,6132;-97,3058;-4,95434;"L";1,00402463110739;0,0123633925113746;1
"181";22339;"L_V1_ROI";1;0,000343989438574378;-14,8794;-97,2052;-3,67834;"L";1,00402113746451;0,0106816762817001;1
"182";22340;"L_V1_ROI";1;0,000348673947579508;-14,1838;-97,0445;-2,35854;"L";1,00402036290445;0,0104983440464472;1
"183";22366;"L_V1_ROI";1;0,000353375696790977;-20,6897;-95,8276;-12,1906;"L";1,00401352913315;0,00810643130442832;1
"184";22367;"L_V1_ROI";1;0,000358055591037482;-19,7042;-96,1398;-11,259;"L";1,00401200251755;0,00491479445336572;1
"185";22368;"L_V1_ROI";2;0,000362756389874994;-18,763;-96,3847;-10,2692;"L";1,00400877547745;-0,00339239574502355;0
"186";22369;"L_V1_ROI";1;0,000367604699943796;-17,8665;-96,5637;-9,2224;"L";1,00400701963059;0,00557949035816291;1
"187";22370;"L_V1_ROI";1;0,000372348050431638;-17,0142;-96,678;-8,12033;"L";1,00400450881527;0,00583597824501945;1
"188";22371;"L_V1_ROI";1;0,000377122304455325;-16,2051;-96,7287;-6,96521;"L";1,00400264071225;0,00906165497578897;1
"189";22372;"L_V1_ROI";1;0,000381912443990911;-15,4377;-96,7169;-5,75964;"L";1,00399767217384;0,0133135816596565;1
"190";22373;"L_V1_ROI";1;0,00038671937207197;-14,7107;-96,644;-4,50645;"L";1,00399504724119;0,0125411814883637;1
"191";22374;"L_V1_ROI";1;0,000391551348367951;-14,0228;-96,5112;-3,20873;"L";1,00399219785938;0,0102452408857605;1
"192";22401;"L_V1_ROI";1;0,000396414982723152;-18,5955;-95,6591;-10,9315;"L";1,00398963877965;-2,22699680415574e-06;0
"193";22402;"L_V1_ROI";2;0,00040128231379125;-17,6946;-95,8614;-9,90934;"L";1,00398433736696;-0,00242397632282449;0
"194";22403;"L_V1_ROI";1;0,000406183525334603;-16,8409;-96,0002;-8,83231;"L";1,00398215586059;0,00406444423310326;1
"195";22404;"L_V1_ROI";1;0,000411105818403834;-16,0334;-96,0767;-7,70241;"L";1,00398037506841;0,00782762078597387;1
"196";22405;"L_V1_ROI";1;0,000416039268938464;-15,2703;-96,0919;-6,52198;"L";1,0039793097394;0,0103365494900544;1
"197";22406;"L_V1_ROI";1;0,000420993468800286;-14,5497;-96,047;-5,29364;"L";1,00397708870734;0,0094596740601867;1
"198";22407;"L_V1_ROI";1;0,000425966791723134;-13,8697;-95,9431;-4,02028;"L";1,00397527273817;0,0113883096922252;1
"199";22434;"L_V1_ROI";2;0,000430932589646563;-17,5385;-95,1251;-10,5483;"L";1,0039731963367;-0,00114997319775707;0
"200";22435;"L_V1_ROI";1;0,000435909717241339;-16,681;-95,2878;-9,49716;"L";1,00397142170427;0,0026693478658977;1
"201";22436;"L_V1_ROI";1;0,000440893528896473;-15,8728;-95,3897;-8,39361;"L";1,00396624410785;0,00807430729830269;1
"202";22437;"L_V1_ROI";1;0,000445902290781613;-15,1122;-95,4318;-7,23973;"L";1,00396470174664;0,00961413766671286;1
