"";"Correlation";"x";"y";"z";"Label";"Hemisphere";"Relation"
"15158";0,14;-61,4365;-41,445;40,2546;"L_PF_ROI";"L";"Positive"
"15159";0,13;-61,7916;-40,8727;39,4072;"L_PF_ROI";"L";"Positive"
"15160";0,12;-62,1159;-40,3126;38,5454;"L_PF_ROI";"L";"Positive"
"15161";0,16;-62,4077;-39,7648;37,6714;"L_PF_ROI";"L";"Positive"
"15162";0,22;-62,6655;-39,2293;36,7872;"L_PF_ROI";"L";"Positive"
"15163";0,29;-62,8876;-38,7061;35,8951;"L_PF_ROI";"L";"Positive"
"15164";0,3;-63,0726;-38,1949;34,9971;"L_PF_ROI";"L";"Positive"
"15165";0,29;-63,2192;-37,6956;34,0953;"L_PF_ROI";"L";"Positive"
"15166";0,27;-63,3262;-37,2076;33,1919;"L_PF_ROI";"L";"Positive"
"15167";0,21;-63,3925;-36,7305;32,2891;"L_PF_ROI";"L";"Positive"
"15168";0,16;-63,4172;-36,2634;31,3889;"L_PF_ROI";"L";"Positive"
"15169";0,14;-63,3999;-35,8055;30,4936;"L_PF_ROI";"L";"Positive"
"15170";0,07;-63,3403;-35,3556;29,6053;"L_PF_ROI";"L";"Positive"
"15171";0,01;-63,2383;-34,9123;28,7262;"L_PF_ROI";"L";"Positive"
"15172";-0,01;-63,0945;-34,4741;27,8584;"L_PF_ROI";"L";"Negative"
"15173";-0,01;-62,9095;-34,039;27,0039;"L_PF_ROI";"L";"Negative"
"15174";0,07;-62,6845;-33,6049;26,1648;"L_PF_ROI";"L";"Positive"
"15175";0,06;-62,4209;-33,1696;25,3428;"L_PF_ROI";"L";"Positive"
"15176";0,08;-62,1205;-32,7305;24,5398;"L_PF_ROI";"L";"Positive"
"15177";0,13;-61,7853;-32,2848;23,7572;"L_PF_ROI";"L";"Positive"
"15178";0,2;-61,4177;-31,8296;22,9967;"L_PFcm_ROI";"L";"Positive"
"15179";0,24;-61,0201;-31,362;22,2594;"L_PFcm_ROI";"L";"Positive"
"15180";0,21;-60,5951;-30,8788;21,5465;"L_PFcm_ROI";"L";"Positive"
"15181";0,16;-60,1456;-30,377;20,8591;"L_PFcm_ROI";"L";"Positive"
"15182";0,13;-59,6745;-29,8534;20,1981;"L_PFcm_ROI";"L";"Positive"
"15183";0,14;-59,1845;-29,3052;19,564;"L_PFcm_ROI";"L";"Positive"
"15184";0,13;-58,6788;-28,7297;18,9574;"L_PFcm_ROI";"L";"Positive"
"15185";0,05;-58,1602;-28,1243;18,3783;"L_PFcm_ROI";"L";"Positive"
"15186";-0,01;-57,6317;-27,4871;17,8265;"L_PFcm_ROI";"L";"Negative"
"15187";0,01;-57,0962;-26,8163;17,3015;"L_OP1_ROI";"L";"Positive"
"15188";0,04;-56,5565;-26,1108;16,8023;"L_OP1_ROI";"L";"Positive"
"15189";0,05;-56,0154;-25,3698;16,3274;"L_OP1_ROI";"L";"Positive"
"15190";0,04;-55,4755;-24,5933;15,875;"L_OP1_ROI";"L";"Positive"
"15191";0,02;-54,9391;-23,7818;15,4425;"L_OP1_ROI";"L";"Positive"
"15192";0,04;-54,4087;-22,9364;15,0273;"L_OP1_ROI";"L";"Positive"
"15193";0,07;-53,8862;-22,0586;14,6259;"L_OP1_ROI";"L";"Positive"
"15194";0,1;-53,3735;-21,1508;14,2348;"L_OP1_ROI";"L";"Positive"
"15195";0,1;-52,8722;-20,2157;13,8499;"L_OP1_ROI";"L";"Positive"
"15196";0,07;-52,3836;-19,2569;13,4666;"L_OP1_ROI";"L";"Positive"
"15197";0,01;-51,9087;-18,2788;13,08;"L_OP1_ROI";"L";"Positive"
"15198";-0,05;-51,4478;-17,2866;12,6844;"L_OP2-3_ROI";"L";"Negative"
"15199";-0,07;-51,0007;-16,2878;12,2734;"L_OP2-3_ROI";"L";"Negative"
"15200";0;-57,246;-46,1013;46,8753;"L_IP2_ROI";"L";"Positive"
"15201";0,05;-57,821;-45,3597;46,2484;"L_PFm_ROI";"L";"Positive"
"15202";0,08;-58,3762;-44,648;45,5844;"L_PF_ROI";"L";"Positive"
"15203";0,08;-58,9104;-43,9608;44,8868;"L_PF_ROI";"L";"Positive"
"15204";0,07;-59,4224;-43,2942;44,1583;"L_PF_ROI";"L";"Positive"
"15205";0,04;-59,9109;-42,6456;43,4017;"L_PF_ROI";"L";"Positive"
"15206";0,05;-60,3747;-42,0132;42,6194;"L_PF_ROI";"L";"Positive"
"15207";0,12;-60,8123;-41,396;41,8138;"L_PF_ROI";"L";"Positive"
"15208";0,17;-61,2224;-40,7932;40,9872;"L_PF_ROI";"L";"Positive"
"15209";0,14;-61,6035;-40,2045;40,1418;"L_PF_ROI";"L";"Positive"
"15210";0,11;-61,954;-39,6295;39,2799;"L_PF_ROI";"L";"Positive"
"15211";0,14;-62,2726;-39,0683;38,4038;"L_PF_ROI";"L";"Positive"
"15212";0,17;-62,5576;-38,5206;37,5157;"L_PF_ROI";"L";"Positive"
"15213";0,22;-62,8076;-37,9863;36,6176;"L_PF_ROI";"L";"Positive"
"15214";0,25;-63,0212;-37,4652;35,712;"L_PF_ROI";"L";"Positive"
"15215";0,26;-63,1972;-36,9571;34,801;"L_PF_ROI";"L";"Positive"
"15216";0,25;-63,3343;-36,4614;33,8868;"L_PF_ROI";"L";"Positive"
"15217";0,22;-63,4315;-35,9777;32,9716;"L_PF_ROI";"L";"Positive"
"15218";0,18;-63,4879;-35,5052;32,0577;"L_PF_ROI";"L";"Positive"
"15219";0,13;-63,503;-35,043;31,1475;"L_PF_ROI";"L";"Positive"
"15220";0,02;-63,4763;-34,5899;30,2431;"L_PF_ROI";"L";"Positive"
"15221";0,02;-63,4077;-34,1446;29,3468;"L_PF_ROI";"L";"Positive"
"15222";0,03;-63,2974;-33,7053;28,4609;"L_PF_ROI";"L";"Positive"
"15223";0,06;-63,1461;-33,2703;27,5876;"L_PF_ROI";"L";"Positive"
"15224";0,11;-62,9546;-32,8375;26,729;"L_PF_ROI";"L";"Positive"
"15225";0,16;-62,7242;-32,4043;25,8871;"L_PF_ROI";"L";"Positive"
"15226";0,15;-62,4564;-31,9683;25,0636;"L_PF_ROI";"L";"Positive"
"15227";0,16;-62,153;-31,5267;24,2605;"L_PF_ROI";"L";"Positive"
"15228";0,17;-61,8162;-31,0765;23,4792;"L_PFcm_ROI";"L";"Positive"
"15229";0,2;-61,4484;-30,6146;22,7211;"L_PFcm_ROI";"L";"Positive"
"15230";0,18;-61,0519;-30,1379;21,9874;"L_PFcm_ROI";"L";"Positive"
"15231";0,14;-60,6295;-29,6431;21,2793;"L_PFcm_ROI";"L";"Positive"
"15232";0,11;-60,184;-29,1272;20,5976;"L_PFcm_ROI";"L";"Positive"
"15233";0,14;-59,718;-28,5871;19,9431;"L_PFcm_ROI";"L";"Positive"
"15234";0,15;-59,2347;-28,02;19,3161;"L_PFcm_ROI";"L";"Positive"
"15235";0,04;-58,7367;-27,4234;18,7168;"L_PFcm_ROI";"L";"Positive"
"15236";-0,09;-58,227;-26,795;18,1452;"L_OP1_ROI";"L";"Negative"
"15237";-0,02;-57,7085;-26,133;17,6007;"L_OP1_ROI";"L";"Negative"
"15238";0,02;-57,1838;-25,4361;17,0825;"L_OP1_ROI";"L";"Positive"
"15239";0,03;-56,6558;-24,7035;16,5894;"L_OP1_ROI";"L";"Positive"
"15240";0,02;-56,1268;-23,9349;16,1194;"L_OP1_ROI";"L";"Positive"
"15241";0,01;-55,5993;-23,1305;15,6706;"L_OP1_ROI";"L";"Positive"
"15242";0,02;-55,0754;-22,2912;15,2402;"L_OP1_ROI";"L";"Positive"
"15243";0,04;-54,5572;-21,4185;14,8252;"L_OP1_ROI";"L";"Positive"
"15244";0,08;-54,0463;-20,5143;14,422;"L_OP1_ROI";"L";"Positive"
"15245";0,08;-53,5442;-19,5814;14,027;"L_OP1_ROI";"L";"Positive"
"15246";0,06;-53,052;-18,6229;13,6358;"L_OP1_ROI";"L";"Positive"
"15247";-0,02;-52,5704;-17,6429;13,2437;"L_OP1_ROI";"L";"Negative"
"15248";-0,09;-52,0997;-16,6465;12,8457;"L_OP1_ROI";"L";"Negative"
"15249";-0,07;-51,6399;-15,64;12,4362;"L_OP2-3_ROI";"L";"Negative"
"15250";-0,03;-57,382;-44,9454;46,8686;"L_IP2_ROI";"L";"Negative"
"15251";0,01;-57,9649;-44,1899;46,2249;"L_PF_ROI";"L";"Positive"
"15252";0,03;-58,5267;-43,4643;45,5447;"L_PF_ROI";"L";"Positive"
"15253";0,03;-59,066;-42,764;44,8313;"L_PF_ROI";"L";"Positive"
"15254";0,01;-59,5816;-42,0858;44,0873;"L_PF_ROI";"L";"Positive"
"15255";0,02;-60,0721;-41,4272;43,3152;"L_PF_ROI";"L";"Positive"
"15256";0,05;-60,5364;-40,7865;42,5177;"L_PF_ROI";"L";"Positive"
"15257";0,07;-60,9731;-40,1627;41,6969;"L_PF_ROI";"L";"Positive"
"15258";0,08;-61,381;-39,5549;40,8553;"L_PF_ROI";"L";"Positive"
"15259";0,08;-61,7586;-38,9626;39,9951;"L_PF_ROI";"L";"Positive"
"15260";0,1;-62,1046;-38,3854;39,1186;"L_PF_ROI";"L";"Positive"
"15261";0,14;-62,4175;-37,8231;38,2281;"L_PF_ROI";"L";"Positive"
"15262";0,17;-62,6961;-37,2755;37,326;"L_PF_ROI";"L";"Positive"
"15263";0,21;-62,9391;-36,7422;36,4145;"L_PF_ROI";"L";"Positive"
"15264";0,22;-63,1451;-36,223;35,4958;"L_PF_ROI";"L";"Positive"
"15265";0,21;-63,3131;-35,7173;34,5724;"L_PF_ROI";"L";"Positive"
"15266";0,19;-63,442;-35,2247;33,6464;"L_PF_ROI";"L";"Positive"
"15267";0,15;-63,5311;-34,7444;32,7203;"L_PF_ROI";"L";"Positive"
"15268";0,12;-63,5795;-34,2755;31,7965;"L_PF_ROI";"L";"Positive"
"15269";0,06;-63,5868;-33,8168;30,8771;"L_PF_ROI";"L";"Positive"
"15270";0,06;-63,5529;-33,3669;29,9647;"L_PF_ROI";"L";"Positive"
"15271";0,06;-63,4777;-32,9244;29,0616;"L_PF_ROI";"L";"Positive"
"15272";0,08;-63,3618;-32,4872;28,1699;"L_PF_ROI";"L";"Positive"
"15273";0,14;-63,2057;-32,0533;27,292;"L_PF_ROI";"L";"Positive"
"15274";0,2;-63,0105;-31,6203;26,43;"L_PF_ROI";"L";"Positive"
"15275";0,21;-62,7776;-31,1855;25,5857;"L_PF_ROI";"L";"Positive"
"15276";0,19;-62,5084;-30,7463;24,7611;"L_PF_ROI";"L";"Positive"
"15277";0,16;-62,205;-30,2995;23,9579;"L_PFcm_ROI";"L";"Positive"
"15278";0,18;-61,8695;-29,8421;23,1776;"L_PFcm_ROI";"L";"Positive"
"15279";0,16;-61,5041;-29,3708;22,4214;"L_PFcm_ROI";"L";"Positive"
"15280";0,13;-61,1114;-28,8823;21,6905;"L_PFcm_ROI";"L";"Positive"
"15281";0,09;-60,694;-28,3735;20,986;"L_PFcm_ROI";"L";"Positive"
"15282";0,11;-60,2546;-27,8413;20,3085;"L_PFcm_ROI";"L";"Positive"
"15283";0,13;-59,7959;-27,2826;19,6585;"L_PFcm_ROI";"L";"Positive"
"15284";0,05;-59,3209;-26,6949;19,0364;"L_PFcm_ROI";"L";"Positive"
"15285";-0,02;-58,8322;-26,0757;18,442;"L_PFcm_ROI";"L";"Negative"
"15286";0,03;-58,3327;-25,4232;17,8751;"L_OP1_ROI";"L";"Positive"
"15287";0;-57,825;-24,7357;17,3349;"L_OP1_ROI";"L";"Positive"
"15288";-0,01;-57,3118;-24,0124;16,8204;"L_OP1_ROI";"L";"Negative"
"15289";-0,01;-56,7956;-23,2526;16,3298;"L_OP1_ROI";"L";"Negative"
"15290";0,02;-56,2786;-22,4566;15,8614;"L_OP1_ROI";"L";"Positive"
"15291";0,02;-55,763;-21,6249;15,4126;"L_OP1_ROI";"L";"Positive"
"15292";0,03;-55,2507;-20,7587;14,9807;"L_OP1_ROI";"L";"Positive"
"15293";0,05;-54,7433;-19,8599;14,5625;"L_OP1_ROI";"L";"Positive"
"15294";0,05;-54,2422;-18,9307;14,1544;"L_OP1_ROI";"L";"Positive"
"15295";0,02;-53,7484;-17,9742;13,7525;"L_OP1_ROI";"L";"Positive"
"15296";0;-53,2626;-16,9942;13,3525;"L_OP1_ROI";"L";"Positive"
"15297";0,03;-52,7851;-15,9951;12,9498;"L_OP1_ROI";"L";"Positive"
"15298";0,01;-52,3158;-14,9828;12,5396;"L_OP2-3_ROI";"L";"Positive"
"15299";0,02;-57,5155;-43,7761;46,8324;"L_PF_ROI";"L";"Positive"
"15300";0,05;-58,1044;-43,0094;46,1719;"L_PF_ROI";"L";"Positive"
"15301";0,02;-58,6711;-42,2723;45,4754;"L_PF_ROI";"L";"Positive"
"15302";0;-59,214;-41,5611;44,746;"L_PF_ROI";"L";"Positive"
"15303";-0,01;-59,7319;-40,8731;43,9861;"L_PF_ROI";"L";"Negative"
"15304";-0,02;-60,2234;-40,2059;43,1985;"L_PF_ROI";"L";"Negative"
"15305";-0,01;-60,6875;-39,5582;42,3854;"L_PF_ROI";"L";"Negative"
"15306";0,01;-61,1227;-38,9286;41,5494;"L_PF_ROI";"L";"Positive"
"15307";0,06;-61,528;-38,3164;40,6927;"L_PF_ROI";"L";"Positive"
"15308";0,09;-61,9019;-37,7209;39,8178;"L_PF_ROI";"L";"Positive"
"15309";0,13;-62,2434;-37,1418;38,927;"L_PF_ROI";"L";"Positive"
"15310";0,18;-62,5511;-36,5786;38,0226;"L_PF_ROI";"L";"Positive"
"15311";0,2;-62,8238;-36,0309;37,107;"L_PF_ROI";"L";"Positive"
"15312";0,21;-63,0603;-35,4984;36,1825;"L_PF_ROI";"L";"Positive"
"15313";0,15;-63,2597;-34,9805;35,2516;"L_PF_ROI";"L";"Positive"
"15314";0,11;-63,4209;-34,4768;34,3166;"L_PF_ROI";"L";"Positive"
"15315";0,06;-63,5431;-33,9864;33,38;"L_PF_ROI";"L";"Positive"
"15316";0,04;-63,6255;-33,5084;32,444;"L_PF_ROI";"L";"Positive"
"15317";0;-63,6677;-33,0418;31,5112;"L_PF_ROI";"L";"Positive"
"15318";0,06;-63,6694;-32,5851;30,5839;"L_PF_ROI";"L";"Positive"
"15319";0,07;-63,6305;-32,1369;29,6646;"L_PF_ROI";"L";"Positive"
"15320";0,14;-63,5513;-31,6952;28,7555;"L_PF_ROI";"L";"Positive"
"15321";0,19;-63,4321;-31,2581;27,8589;"L_PF_ROI";"L";"Positive"
"15322";0,22;-63,2739;-30,8231;26,977;"L_PF_ROI";"L";"Positive"
"15323";0,22;-63,0777;-30,3876;26,1119;"L_PF_ROI";"L";"Positive"
"15324";0,19;-62,8449;-29,9489;25,2656;"L_PF_ROI";"L";"Positive"
"15325";0,16;-62,5771;-29,5039;24,4399;"L_PF_ROI";"L";"Positive"
"15326";0,16;-62,2763;-29,0495;23,6362;"L_PF_ROI";"L";"Positive"
"15327";0,15;-61,9444;-28,5824;22,8562;"L_PFcm_ROI";"L";"Positive"
"15328";0,11;-61,5839;-28,0993;22,101;"L_PFcm_ROI";"L";"Positive"
"15329";0,08;-61,1972;-27,5969;21,3716;"L_PFcm_ROI";"L";"Positive"
"15330";0,09;-60,7868;-27,0721;20,669;"L_PFcm_ROI";"L";"Positive"
"15331";0,11;-60,3553;-26,5217;19,9938;"L_PFcm_ROI";"L";"Positive"
"15332";0,08;-59,9055;-25,9429;19,3462;"L_PFcm_ROI";"L";"Positive"
"15333";0,06;-59,4401;-25,3333;18,7265;"L_PFcm_ROI";"L";"Positive"
"15334";0,03;-58,9617;-24,6907;18,1344;"L_OP1_ROI";"L";"Positive"
"15335";-0,02;-58,473;-24,0134;17,5693;"L_OP1_ROI";"L";"Negative"
"15336";-0,04;-57,9766;-23,3002;17,0303;"L_OP1_ROI";"L";"Negative"
"15337";-0,05;-57,4749;-22,5505;16,5161;"L_OP1_ROI";"L";"Negative"
"15338";0,01;-56,9702;-21,7641;16,0249;"L_OP1_ROI";"L";"Positive"
"15339";0,05;-56,4645;-20,9415;15,5547;"L_OP1_ROI";"L";"Positive"
"15340";0,07;-55,9597;-20,0835;15,1028;"L_OP1_ROI";"L";"Positive"
"15341";0,06;-55,4575;-19,1917;14,6663;"L_OP1_ROI";"L";"Positive"
"15342";0,06;-54,9592;-18,2682;14,242;"L_OP1_ROI";"L";"Positive"
"15343";0,05;-54,4657;-17,3157;13,8263;"L_OP1_ROI";"L";"Positive"
"15344";0,09;-53,9778;-16,3376;13,4153;"L_OP1_ROI";"L";"Positive"
"15345";0,13;-53,4958;-15,338;13,005;"L_OP1_ROI";"L";"Positive"
"15346";0,07;-53,0196;-14,3219;12,591;"L_OP2-3_ROI";"L";"Positive"
"15347";0,02;-57,6458;-42,5969;46,7696;"L_PF_ROI";"L";"Positive"
"15348";0,01;-58,2391;-41,821;46,0921;"L_PF_ROI";"L";"Positive"
"15349";0,01;-58,8091;-41,0745;45,3793;"L_PF_ROI";"L";"Positive"
"15350";-0,04;-59,3543;-40,3543;44,6337;"L_PF_ROI";"L";"Negative"
"15351";-0,11;-59,8733;-39,6581;43,8579;"L_PF_ROI";"L";"Negative"
"15352";-0,11;-60,3649;-38,9837;43,0546;"L_PF_ROI";"L";"Negative"
"15353";-0,07;-60,8278;-38,3299;42,2262;"L_PF_ROI";"L";"Negative"
"15354";-0,03;-61,2611;-37,6954;41,375;"L_PF_ROI";"L";"Negative"
"15355";-0,02;-61,6634;-37,0794;40,5036;"L_PF_ROI";"L";"Negative"
"15356";-0,01;-62,0336;-36,4812;39,6143;"L_PF_ROI";"L";"Negative"
"15357";0,07;-62,3706;-35,9002;38,7097;"L_PF_ROI";"L";"Positive"
"15358";0,1;-62,6734;-35,3361;37,792;"L_PF_ROI";"L";"Positive"
"15359";0,13;-62,9407;-34,7882;36,8637;"L_PF_ROI";"L";"Positive"
"15360";0,11;-63,1717;-34,256;35,9272;"L_PF_ROI";"L";"Positive"
"15361";0;-63,3654;-33,7389;34,9851;"L_PF_ROI";"L";"Positive"
"15362";-0,06;-63,5211;-33,2363;34,0396;"L_PF_ROI";"L";"Negative"
"15363";-0,03;-63,6379;-32,7471;33,0933;"L_PF_ROI";"L";"Negative"
"15364";-0,02;-63,7155;-32,2703;32,1486;"L_PF_ROI";"L";"Negative"
"15365";0,02;-63,7534;-31,8045;31,208;"L_PF_ROI";"L";"Positive"
"15366";0,08;-63,7515;-31,3484;30,2737;"L_PF_ROI";"L";"Positive"
"15367";0,19;-63,7099;-30,9;29,3483;"L_PF_ROI";"L";"Positive"
"15368";0,23;-63,6288;-30,4573;28,434;"L_PF_ROI";"L";"Positive"
"15369";0,21;-63,5089;-30,0181;27,533;"L_PF_ROI";"L";"Positive"
"15370";0,21;-63,351;-29,5799;26,6476;"L_PF_ROI";"L";"Positive"
"15371";0,2;-63,1563;-29,1397;25,7796;"L_PF_ROI";"L";"Positive"
"15372";0,18;-62,9261;-28,6947;24,9311;"L_PF_ROI";"L";"Positive"
"15373";0,2;-62,662;-28,2418;24,1036;"L_PFcm_ROI";"L";"Positive"
"15374";0,2;-62,366;-27,7775;23,2988;"L_PFcm_ROI";"L";"Positive"
"15375";0,17;-62,04;-27,2986;22,5181;"L_PFcm_ROI";"L";"Positive"
"15376";0,12;-61,6864;-26,8018;21,7625;"L_PFcm_ROI";"L";"Positive"
"15377";0,11;-61,3074;-26,2836;21,0331;"L_PFcm_ROI";"L";"Positive"
"15378";0,08;-60,9056;-25,7411;20,3305;"L_PFcm_ROI";"L";"Positive"
"15379";0,07;-60,4834;-25,1711;19,6554;"L_PFcm_ROI";"L";"Positive"
"15380";0,09;-60,0435;-24,5712;19,0079;"L_OP1_ROI";"L";"Positive"
"15381";0,06;-59,5885;-23,9389;18,388;"L_OP1_ROI";"L";"Positive"
"15382";0,02;-59,121;-23,2724;17,7953;"L_OP1_ROI";"L";"Positive"
"15383";-0,02;-58,6433;-22,5703;17,2291;"L_OP1_ROI";"L";"Negative"
"15384";-0,03;-58,158;-21,8316;16,6883;"L_OP1_ROI";"L";"Negative"
"15385";-0,01;-57,6673;-21,0562;16,1714;"L_OP1_ROI";"L";"Negative"
"15386";0,04;-57,1733;-20,244;15,6766;"L_OP1_ROI";"L";"Positive"
"15387";0,06;-56,6777;-19,3958;15,2015;"L_OP1_ROI";"L";"Positive"
"15388";0,06;-56,1823;-18,5129;14,7436;"L_OP1_ROI";"L";"Positive"
"15389";0,05;-55,6883;-17,597;14,2999;"L_OP1_ROI";"L";"Positive"
"15390";0,03;-55,1969;-16,6506;13,8672;"L_OP1_ROI";"L";"Positive"
"15391";0,09;-54,7088;-15,6767;13,442;"L_OP1_ROI";"L";"Positive"
"15392";0,1;-54,2243;-14,6788;13,0207;"L_OP1_ROI";"L";"Positive"
"15393";0,07;-53,7436;-13,6614;12,5994;"L_OP2-3_ROI";"L";"Positive"
"15394";-0,1;-57,7723;-41,4111;46,6834;"L_PF_ROI";"L";"Negative"
"15395";-0,04;-58,3685;-40,6278;45,9891;"L_PF_ROI";"L";"Negative"
"15396";-0,1;-58,9404;-39,8737;45,2597;"L_PF_ROI";"L";"Negative"
"15397";-0,14;-59,4865;-39,1461;44,498;"L_PF_ROI";"L";"Negative"
"15398";-0,17;-60,0055;-38,4429;43,7065;"L_PF_ROI";"L";"Negative"
"15399";-0,12;-60,4963;-37,7626;42,8877;"L_PF_ROI";"L";"Negative"
"15400";-0,08;-60,9575;-37,1036;42,0441;"L_PF_ROI";"L";"Negative"
"15401";-0,06;-61,3882;-36,4649;41,1782;"L_PF_ROI";"L";"Negative"
"15402";-0,05;-61,7873;-35,8455;40,2926;"L_PF_ROI";"L";"Negative"
"15403";0;-62,1538;-35,2448;39,3896;"L_PF_ROI";"L";"Positive"
"15404";0,03;-62,4866;-34,6621;38,4718;"L_PF_ROI";"L";"Positive"
"15405";0,03;-62,7848;-34,0968;37,5417;"L_PF_ROI";"L";"Positive"
"15406";0,04;-63,0474;-33,5483;36,6017;"L_PF_ROI";"L";"Positive"
"15407";0,03;-63,2737;-33,016;35,6543;"L_PF_ROI";"L";"Positive"
"15408";-0,04;-63,4628;-32,499;34,7019;"L_PF_ROI";"L";"Negative"
"15409";-0,07;-63,6142;-31,9965;33,7471;"L_PF_ROI";"L";"Negative"
"15410";0;-63,7273;-31,5074;32,7923;"L_PF_ROI";"L";"Positive"
"15411";0,09;-63,8016;-31,0304;31,8399;"L_PF_ROI";"L";"Positive"
"15412";0,13;-63,8371;-30,5641;30,8923;"L_PF_ROI";"L";"Positive"
"15413";0,21;-63,8336;-30,1068;29,9519;"L_PF_ROI";"L";"Positive"
"15414";0,22;-63,7913;-29,6565;29,0211;"L_PF_ROI";"L";"Positive"
"15415";0,19;-63,7106;-29,211;28,1021;"L_PF_ROI";"L";"Positive"
"15416";0,21;-63,5922;-28,7677;27,197;"L_PF_ROI";"L";"Positive"
"15417";0,23;-63,4369;-28,3241;26,3079;"L_PF_ROI";"L";"Positive"
"15418";0,23;-63,2458;-27,8772;25,4368;"L_PFop_ROI";"L";"Positive"
"15419";0,21;-63,0204;-27,4239;24,5855;"L_PFop_ROI";"L";"Positive"
"15420";0,21;-62,7621;-26,9608;23,7556;"L_PFop_ROI";"L";"Positive"
"15421";0,21;-62,4729;-26,4848;22,9485;"L_PFcm_ROI";"L";"Positive"
"15422";0,2;-62,1546;-25,9923;22,1657;"L_PFcm_ROI";"L";"Positive"
"15423";0,18;-61,8094;-25,4799;21,4081;"L_PFcm_ROI";"L";"Positive"
"15424";0,14;-61,4396;-24,9446;20,6767;"L_PFcm_ROI";"L";"Positive"
"15425";0,11;-61,0474;-24,3831;19,9722;"L_PFcm_ROI";"L";"Positive"
"15426";0,09;-60,6355;-23,7926;19,2949;"L_OP1_ROI";"L";"Positive"
"15427";0,08;-60,2061;-23,1708;18,6449;"L_OP1_ROI";"L";"Positive"
"15428";0,05;-59,7619;-22,5154;18,0222;"L_OP1_ROI";"L";"Positive"
"15429";0,04;-59,3052;-21,825;17,4263;"L_OP1_ROI";"L";"Positive"
"15430";0,03;-58,8383;-21,0983;16,8562;"L_OP1_ROI";"L";"Positive"
"15431";0,05;-58,3635;-20,3349;16,3108;"L_OP1_ROI";"L";"Positive"
"15432";0,08;-57,8829;-19,5345;15,7884;"L_OP1_ROI";"L";"Positive"
"15433";0,1;-57,3983;-18,6976;15,2872;"L_OP1_ROI";"L";"Positive"
"15434";0,07;-56,9114;-17,8253;14,8048;"L_OP1_ROI";"L";"Positive"
"15435";0,01;-56,4235;-16,9191;14,3385;"L_OP1_ROI";"L";"Positive"
"15436";0;-55,9358;-15,9809;13,8855;"L_OP1_ROI";"L";"Positive"
"15437";0,01;-55,4491;-15,0134;13,4428;"L_OP1_ROI";"L";"Positive"
"15438";0,01;-54,964;-14,0198;13,007;"L_OP1_ROI";"L";"Positive"
"15439";-0,01;-54,4806;-13,0039;12,5747;"L_OP2-3_ROI";"L";"Negative"
"15440";0;-57,8946;-40,2218;46,578;"L_PF_ROI";"L";"Positive"
"15441";0,03;-58,4922;-39,4326;45,8668;"L_PF_ROI";"L";"Positive"
"15442";0,01;-59,0646;-38,6722;45,121;"L_PF_ROI";"L";"Positive"
"15443";-0,04;-59,6105;-37,9386;44,3433;"L_PF_ROI";"L";"Negative"
"15444";-0,1;-60,1286;-37,2298;43,5362;"L_PF_ROI";"L";"Negative"
"15445";-0,11;-60,6176;-36,5444;42,7022;"L_PF_ROI";"L";"Negative"
"15446";-0,1;-61,0765;-35,881;41,844;"L_PF_ROI";"L";"Negative"
"15447";-0,07;-61,5043;-35,2386;40,964;"L_PF_ROI";"L";"Negative"
"15448";-0,03;-61,9001;-34,6163;40,0648;"L_PF_ROI";"L";"Negative"
"15449";0;-62,2627;-34,0132;39,149;"L_PF_ROI";"L";"Positive"
"15450";0,04;-62,5915;-33,4287;38,219;"L_PF_ROI";"L";"Positive"
"15451";0,05;-62,8856;-32,862;37,2774;"L_PF_ROI";"L";"Positive"
"15452";0,03;-63,1443;-32,3124;36,3267;"L_PF_ROI";"L";"Positive"
"15453";0,02;-63,3667;-31,7792;35,3694;"L_PF_ROI";"L";"Positive"
"15454";0,01;-63,5524;-31,2614;34,4079;"L_PF_ROI";"L";"Positive"
"15455";0,03;-63,7008;-30,758;33,4447;"L_PF_ROI";"L";"Positive"
"15456";0,08;-63,8116;-30,2678;32,4823;"L_PF_ROI";"L";"Positive"
"15457";0,13;-63,8844;-29,7894;31,523;"L_PF_ROI";"L";"Positive"
"15458";0,16;-63,9192;-29,321;30,5693;"L_PF_ROI";"L";"Positive"
"15459";0,19;-63,916;-28,8609;29,6233;"L_PF_ROI";"L";"Positive"
"15460";0,18;-63,875;-28,4068;28,6874;"L_PFop_ROI";"L";"Positive"
"15461";0,2;-63,7967;-27,9566;27,7638;"L_PFop_ROI";"L";"Positive"
"15462";0,21;-63,6818;-27,5074;26,8544;"L_PFop_ROI";"L";"Positive"
"15463";0,2;-63,5311;-27,0566;25,9614;"L_PFop_ROI";"L";"Positive"
"15464";0,18;-63,3457;-26,6009;25,0866;"L_PFop_ROI";"L";"Positive"
"15465";0,17;-63,1268;-26,1373;24,2316;"L_PFop_ROI";"L";"Positive"
"15466";0,18;-62,8761;-25,6625;23,3981;"L_PFcm_ROI";"L";"Positive"
"15467";0,17;-62,5952;-25,1728;22,5875;"L_PFcm_ROI";"L";"Positive"
"15468";0,17;-62,2859;-24,6651;21,8009;"L_PFcm_ROI";"L";"Positive"
"15469";0,16;-61,9504;-24,136;21,0396;"L_PFcm_ROI";"L";"Positive"
"15470";0,15;-61,5906;-23,5822;20,3042;"L_PFcm_ROI";"L";"Positive"
"15471";0,14;-61,2089;-23,0008;19,5955;"L_PFcm_ROI";"L";"Positive"
