"";"x";"y";"z";"Label";"Hemisphere"
"11890";"-46.7602";"-69.2894";"48.4475";"L_PFm_ROI";"L"
"11891";"-47.3101";"-68.1482";"48.5816";"L_PFm_ROI";"L"
"11892";"-47.8549";"-67.0076";"48.6931";"L_PFm_ROI";"L"
"11893";"-48.395";"-65.8686";"48.7845";"L_PFm_ROI";"L"
"11894";"-48.9304";"-64.7326";"48.8577";"L_PFm_ROI";"L"
"11895";"-49.4614";"-63.6008";"48.9138";"L_PFm_ROI";"L"
"11896";"-49.9883";"-62.4742";"48.9537";"L_PFm_ROI";"L"
"11897";"-50.5113";"-61.3541";"48.9775";"L_PFm_ROI";"L"
"11898";"-51.0308";"-60.2417";"48.9847";"L_PFm_ROI";"L"
"11899";"-51.5469";"-59.1382";"48.9742";"L_PFm_ROI";"L"
"11900";"-52.0599";"-58.0452";"48.9442";"L_PFm_ROI";"L"
"11901";"-52.5702";"-56.9643";"48.892";"L_PFm_ROI";"L"
"11902";"-53.0787";"-55.8972";"48.8139";"L_PFm_ROI";"L"
"11903";"-53.587";"-54.8465";"48.7044";"L_PFm_ROI";"L"
"11904";"-54.0983";"-53.8154";"48.5546";"L_PFm_ROI";"L"
"11905";"-22.2294";"-97.7303";"23.6864";"L_V3A_ROI";"L"
"11906";"-23.059";"-97.5053";"24.0972";"L_V3A_ROI";"L"
"11907";"-23.8858";"-97.2419";"24.5207";"L_V3B_ROI";"L"
"11908";"-24.7064";"-96.9388";"24.9742";"L_V3B_ROI";"L"
"11909";"-25.5176";"-96.5964";"25.4706";"L_V3B_ROI";"L"
"11910";"-26.3166";"-96.2161";"26.0192";"L_V3B_ROI";"L"
"11911";"-27.1006";"-95.7999";"26.6266";"L_V3B_ROI";"L"
"11912";"-27.8672";"-95.3499";"27.2971";"L_V3B_ROI";"L"
"11913";"-28.6144";"-94.8683";"28.0322";"L_V3B_ROI";"L"
"11914";"-29.3403";"-94.3573";"28.8311";"L_V3B_ROI";"L"
"11915";"-30.0443";"-93.8184";"29.691";"L_IP0_ROI";"L"
"11916";"-30.7258";"-93.2531";"30.6066";"L_IP0_ROI";"L"
"11917";"-31.3856";"-92.6622";"31.571";"L_IP0_ROI";"L"
"11918";"-32.0248";"-92.046";"32.5759";"L_IP0_ROI";"L"
"11919";"-32.6455";"-91.4043";"33.6119";"L_IP0_ROI";"L"
"11920";"-33.2503";"-90.7363";"34.6687";"L_IP0_ROI";"L"
"11921";"-33.842";"-90.0413";"35.7359";"L_IP0_ROI";"L"
"11922";"-34.424";"-89.318";"36.8029";"L_IP0_ROI";"L"
"11923";"-34.9992";"-88.5651";"37.8594";"L_IP0_ROI";"L"
"11924";"-35.5706";"-87.7818";"38.8955";"L_IP1_ROI";"L"
"11925";"-36.1408";"-86.9672";"39.9019";"L_IP1_ROI";"L"
"11926";"-36.7117";"-86.121";"40.8705";"L_IP1_ROI";"L"
"11927";"-37.2848";"-85.2433";"41.7938";"L_PGs_ROI";"L"
